Temp,Wind,Precip,Pressure,Heat,Brightness,FRP,Count,month
22,16,0,1010.75,28,341.0054688,73.71953125,128,January
22.5,16,0.325,1012,27.75,343.7257895,73.60473684,190,January
21.5,16.5,0.425,1012.25,25.5,334.2207547,86.72075472,53,January
22.5,15.25,0.225,1011.25,27.75,333.2179856,67.95539568,139,January
20.5,20,1.375,1011,27,336.7356137,79.57203219,497,January
22.75,16.25,0.2,1014,29.25,348.9130977,155.8305613,481,January
22.75,15,0,1016.75,28.75,335.1648536,60.52426778,478,January
22.5,12.75,0,1016.25,29.25,338.8712941,106.9425882,425,January
23.5,16.5,0,1014.75,28.25,332.2879365,59.50825397,315,January
24,15.25,0.175,1011.25,30.5,341.0633218,74.81487889,289,January
24.75,20.25,0,1012.25,30.5,329.0608696,55.39249012,253,January
22.75,15.75,0.35,1015.5,30,331.6225532,46.54382979,235,January
22,17,0,1018,30.25,333.4578378,52.96594595,185,January
21.25,18.5,0.05,1020.25,28.25,329.0989011,68.35769231,182,January
22.5,19.5,0.075,1020.25,26,338.1005025,74.05829146,199,January
22.25,18.25,0,1016.25,27,335.8504545,99.24909091,220,January
22.75,15.5,0,1013,26.5,328.3237288,39.83728814,177,January
22.75,14.5,0,1010.5,29.25,334.0142157,76.54607843,204,January
23,15.25,0,1010.75,30.25,326.1558685,41.76338028,213,January
24.25,16.75,0.5,1011.25,31.5,334.6195513,62.50320513,312,January
23.5,14.25,0.325,1010.5,29.75,325.3285714,50.58341014,217,January
22.75,18.25,0.225,1010.75,28.25,327.0062201,38.55980861,209,January
22.5,16.75,0.075,1012,28.75,323.9246575,56.55342466,73,January
23.75,14.5,0.05,1012.25,28.75,329.1755319,48.65851064,94,January
23.25,15,0.55,1013.75,29.75,334.5785714,110.2846939,98,January
23.25,17.5,0.3,1012.25,28.25,335.3853659,100.2185366,205,January
22.25,17,0.15,1008.75,27.75,354.1049296,152.9985915,142,January
22.5,16,0.525,1004.75,29.75,344.9616279,68.65697674,86,January
24,17.5,0.025,1004.75,29.25,334.625,81.7625,24,January
23.25,21.25,0.025,1005,28.75,321.35,23.85714286,28,January
21.75,13.75,0.275,1006,28,325.8564103,23.16666667,39,February
